Text,Label
1probability for Human: 85.97%,Human
2probability for Human: 80.76%,Human
3probability for Human: 54.28%,Human
4probability for Human: 89.26%,Human
5probability for Human: 92.90%,Human
6probability for Human: 78.01%,Human
7probability for Human: 90.05%,Human
8probability for Human: 78.04%,Human
9probability for Human: 84.65%,Human
10probability for Human: 95.25%,Human
11probability for Human: 91.93%,Human
12probability for Human: 84.54%,Human
13probability for Human: 81.30%,Human
14probability for Human: 85.23%,Human
15probability for Human: 77.40%,Human
16probability for Human: 90.80%,Human
17probability for Human: 77.82%,Human
18probability for Human: 84.68%,Human
19probability for Human: 89.88%,Human
20probability for Human: 94.24%,Human
21probability for A.I.: 62.65%,AI
22probability for Human: 53.99%,Human
23probability for Human: 66.92%,Human
24probability for Human: 55.87%,Human
25probability for A.I.: 50.52%,AI
26probability for Human: 62.52%,Human
27probability for Human: 64.55%,Human
28probability for Human: 71.57%,Human
29probability for A.I.: 54.16%,AI
30probability for Human: 60.66%,Human
31probability for A.I.: 64.57%,AI
32probability for Human: 63.10%,Human
33probability for A.I.: 54.41%,AI
34probability for A.I.: 58.71%,AI
35probability for Human: 58.97%,Human
36probability for Human: 52.18%,Human
37probability for A.I.: 64.58%,AI
38probability for A.I.: 55.80%,AI
39probability for A.I.: 58.49%,AI
40probability for A.I.: 71.76%,AI
41probability for Human: 56.74%,Human
42probability for Human: 60.19%,Human
43probability for Human: 55.65%,Human
44probability for Human: 68.95%,Human
45probability for Human: 50.96%,Human
46probability for Human: 68.06%,Human
47probability for Human: 63.47%,Human
48probability for Human: 55.21%,Human
49probability for Human: 57.34%,Human
50probability for Human: 64.99%,Human
51probability for Human: 65.73%,Human
52probability for Human: 58.41%,Human
53probability for Human: 58.91%,Human
54probability for Human: 61.38%,Human
55probability for Human: 68.01%,Human
56probability for Human: 51.63%,Human
57probability for Human: 65.05%,Human
58probability for Human: 71.56%,Human
59probability for Human: 54.80%,Human
60probability for Human: 61.82%,Human
61probability for Human: 67.55%,Human
62probability for Human: 64.86%,Human
63probability for A.I.: 61.04%,AI
64probability for Human: 67.15%,Human
65probability for Human: 56.19%,Human
66probability for Human: 73.89%,Human
67probability for Human: 50.17%,Human
68probability for Human: 61.52%,Human
69probability for Human: 54.62%,Human
70probability for A.I.: 64.81%,AI
71probability for A.I.: 61.13%,AI
72probability for A.I.: 51.26%,AI
73probability for A.I.: 65.09%,AI
74probability for Human: 69.43%,Human
75probability for Human: 70.29%,Human
76probability for Human: 67.57%,Human
77probability for Human: 58.64%,Human
78probability for Human: 68.88%,Human
79probability for A.I.: 55.55%,AI
80probability for Human: 59.27%,Human
81probability for Human: 72.57%,Human
82probability for Human: 65.21%,Human
83probability for Human: 76.82%,Human
84probability for Human: 81.32%,Human
85probability for Human: 54.17%,Human
86probability for A.I.: 53.44%,AI
87probability for Human: 88.16%,Human
88probability for Human: 62.60%,Human
89probability for A.I.: 51.09%,AI
90probability for A.I.: 75.19%,AI
91probability for Human: 68.44%,Human
92probability for Human: 56.53%,Human
93probability for Human: 67.75%,Human
94probability for Human: 64.17%,Human
95probability for Human: 60.72%,Human
96probability for Human: 69.58%,Human
97probability for Human: 62.93%,Human
98probability for Human: 75.50%,Human
99probability for Human: 59.49%,Human
100probability for Human: 64.56%,Human
101probability for Human: 55.68%,Human
102probability for Human: 63.90%,Human
103probability for Human: 59.06%,Human
104probability for Human: 74.55%,Human
105probability for Human: 58.86%,Human
106probability for Human: 63.01%,Human
107probability for Human: 59.54%,Human
108probability for Human: 50.22%,Human
109probability for A.I.: 64.86%,AI
110probability for A.I.: 51.45%,AI
111probability for Human: 63.01%,Human
112probability for A.I.: 64.20%,AI
113probability for Human: 64.67%,Human
114probability for Human: 61.14%,Human
115probability for Human: 68.57%,Human
116probability for Human: 50.35%,Human
117probability for Human: 63.81%,Human
118probability for Human: 52.18%,Human
119probability for A.I.: 61.10%,AI
120probability for Human: 59.30%,Human
121probability for Human: 52.11%,Human
122probability for Human: 55.30%,Human
123probability for Human: 57.29%,Human
124probability for Human: 63.97%,Human
125probability for Human: 65.78%,Human
